"","section","site","treatment","plot","comm_biomass_g","species_richness","i_e_chal","guo_di_exo","sb_density","sb_richness","sb_pp_viro","litter_mass_g","seed_rain_dsv"
"1","S2","KENN","TIL",1,516.384,27,0.3457604388589,0.572298586581562,17,10,0,87.93,0
"2","S2","KENN","TIL",3,628.001,21,0.437549142114562,0.367842794608835,73,7,0,0,0
"3","S2","KENN","TIL",5,1893.479,19,0.177324743873731,0.742065503429624,122,9,0,0,0
"4","S2","KENN","TIL",11,564.932,18,0.511590370310999,0.607511169485885,70,8,0,0,0
"5","S2","KENN","TIL",13,341.415,21,0.505404714180683,0.759230178605426,23,10,0,0,0
"6","S2","KENN","TIL",15,487.038,21,0.470925249130106,0.728110684235258,22,9,0,0,0
"7","S2","KENN","TIL",21,541.45,23,0.418636506413764,0.572030337218499,54,7,0,0,0
"8","S2","KENN","TIL",23,525.771,22,0.442051605653945,0.356167548574985,27,7,0,0,0
"9","S2","KENN","TIL",25,547.239,22,0.436968581985254,0.71258764452095,37,6,0,0,0
"10","S2","TIMH","TIL",1,86.338,16,0.664313580412877,0.512809394472886,36,11,0,0,0
"11","S2","TIMH","TIL",3,659.537,25,0.35127129955992,0.593251235336304,154,10,0,0,0
"12","S2","TIMH","TIL",5,268.663,22,0.502927609446092,0.578277433066704,230,11,0,0,0
"13","S2","TIMH","TIL",11,114.836,26,0.46053855561418,0.53024614366441,60,7,0,0,0
"14","S2","TIMH","TIL",13,448.652,26,0.381500236768094,0.638467179290579,43,7,0,0,0
"15","S2","TIMH","TIL",15,391.852,22,0.47375988992297,0.574725336931476,97,8,0,0,0
"16","S2","TIMH","TIL",21,81.806,23,0.527467386382639,0.512919749694133,53,6,0,0,0
"17","S2","TIMH","TIL",23,326.1685,28,0.371095414928636,0.585965152980745,40,8,0,0,0
"18","S2","TIMH","TIL",25,272.774,28,0.383737743383914,0.419499554314456,12,7,0,0,0
"19","S2","VICP","TIL",1,136.282,8,0.810110228679383,0.865398585286391,13,5,0,0,0
"20","S2","VICP","TIL",3,104.937,12,0.738720853206488,0.708713323232034,27,8,0,0,0
"21","S2","VICP","TIL",5,344.084,14,0.642692014652824,0.804365877435244,48,6,0,0,0
"22","S2","VICP","TIL",11,215.158,16,0.633812597135404,0.661189393376031,31,7,0,0,0
"23","S2","VICP","TIL",13,270.933,22,0.502390136755207,0.780408641787654,7,3,0,0,0
"24","S2","VICP","TIL",15,135.216,12,0.731551630471986,0.723375931842385,21,5,0,0,0
"25","S2","VICP","TIL",21,512.772,13,0.622454150192355,0.798774114031187,45,11,0,0,0
"26","S2","VICP","TIL",23,338.904,13,0.663621243504632,0.725570118336211,38,8,0,0,0
"27","S2","VICP","TIL",25,446.712,14,0.618392566494149,0.808313857698025,21,5,0,0,0
"28","S4","BNSH","RES",1,371.498,12,0.675606642653575,0.635926034595072,47,9,0,188.154,3.50754019680558e-05
"29","S4","BNSH","RES",3,685.14,14,0.561939465726558,0.452101760224188,147,19,0,145.354,0.0169893198652036
"30","S4","BNSH","RES",5,571.665,18,0.509996183690852,0.344973600506124,245,21,0,54.294,0.0771655765403288
"31","S4","BNSH","RES",11,542.249,15,0.576069320051884,0.223745610104091,256,15,0,273.264,6.06367955007506e-10
"32","S4","BNSH","RES",13,999.379,8,0.605752930403986,0.33439190737448,145,17,0,429.748,0.014891812810117
"33","S4","BNSH","RES",15,366.299,12,0.67683762085618,0.519211650409456,829,17,0,327.59,0.0138270341896684
"34","S4","BNSH","RES",21,525.351,22,0.442151049940365,0.344891406801444,196,18,0,225.558,2.51843753013468e-06
"35","S4","BNSH","RES",23,927.635,15,0.484820663466168,0.297799062490455,331,24,0,244.02,0.00468011643453872
"36","S4","BNSH","RES",25,444.629,21,0.480966517565243,0.292966827667668,324,17,0,406.96,1
"37","S4","DAVE","RES",1,764.4243,14,0.543167154684281,0.213293113897235,75,14,0,510.78,0
"38","S4","DAVE","RES",3,614.1251,13,0.598456562797385,0.303498956357714,208,15,0,582.76,0
"39","S4","DAVE","RES",5,733.2463,10,0.629360232823356,0.330928216071462,71,18,0,688.828,0
"40","S4","DAVE","RES",11,696.7199,21,0.421278423128797,0.203519308664719,199,18,0,380.7,0
"41","S4","DAVE","RES",13,411.512,15,0.607024195465228,0.357186748705587,130,19,0,467.51,1.14254317363707e-10
"42","S4","DAVE","RES",15,533.3372,8,0.716098630981561,0.145450101736762,51,14,0,553.224,0
"43","S4","DAVE","RES",21,667.2574,10,0.644984563947396,0.175286118969981,105,17,0,565.008,0.00364445644668288
"44","S4","DAVE","RES",23,324.472,11,0.706443837242296,0.180039207753464,107,16,0,535.23,3.2769626912333e-08
"45","S4","DAVE","RES",25,115.4832,8,0.815034804451713,0.293672153178991,125,16,0,562.58,0.000140490736264437
"46","S4","GRNB","RES",1,569.482,14,0.589324054485336,0.314643207084935,129,5,0,288.6,5.01637835189343e-08
"47","S4","GRNB","RES",3,781.215,20,0.420975089292314,0.278382231523972,122,14,0,460.04,4.84936922146225e-05
"48","S4","GRNB","RES",5,561.915,22,0.43349371449123,0.256229428100174,102,13,0,706.34,0.0300355495589076
"49","S4","GRNB","RES",11,494.172,10,0.685966359405979,0.388666496685365,56,8,0,274.044,2.15815582048863e-05
"50","S4","GRNB","RES",13,312.776,9,0.748618622485571,0.614233686585785,68,14,0,38.684,0.0371253888628201
"51","S4","GRNB","RES",15,487.617,17,0.549599155355327,0.35821472228264,100,14,0,168.814,0.00113196178989907
"52","S4","GRNB","RES",21,322.348,14,0.647838493247135,0.3050970645744,90,5,0,409.164,0.000294734241905138
"53","S4","GRNB","RES",23,434.636,17,0.562143578542905,0.357647819432948,48,9,0,48.534,0.097931324022965
"54","S4","GRNB","RES",25,108.696,13,0.718128077523732,0.323639395123166,61,13,0,378.07,0.00203617753215611
