"","section","site","treatment","plot","sr","bm_g","bm_obs_max","sr_obs_max","i_e"
"1","S2","KENN","TIL","P01",27,516.3813,0.272715706712049,0.964285714285714,0.340643185383854
"2","S2","KENN","TIL","P03",21,628.0001,0.331664781599832,0.75,0.434453484741679
"3","S2","KENN","TIL","P05",19,1893.4784,1,0.678571428571429,0.179703424972397
"4","S2","KENN","TIL","P11",18,564.9303,0.298355819638608,0.642857142857143,0.509041303103946
"5","S2","KENN","TIL","P13",21,341.4151,0.180311061377832,0.75,0.501188772366589
"6","S2","KENN","TIL","P15",21,487.0377,0.257218513820913,0.75,0.467278532487715
"7","S2","KENN","TIL","P21",23,541.449,0.285954674740414,0.821428571428571,0.414674013025257
"8","S2","KENN","TIL","P23",22,525.7688,0.27767351346601,0.785714285714286,0.438292412049343
"9","S2","KENN","TIL","P25",22,547.2388,0.289012433413553,0.785714285714286,0.433292825101991
"10","S2","TIMH","TIL","P01",17,93.4581,0.0493578907475258,0.607142857142857,0.638797183912261
"11","S2","TIMH","TIL","P03",25,652.4158,0.344559409814234,0.892857142857143,0.348899761862708
"12","S2","TIMH","TIL","P05",22,268.6632,0.141888705992104,0.785714285714286,0.498163012973939
"13","S2","TIMH","TIL","P11",26,114.8359,0.0606481172428479,0.928571428571429,0.45411564203986
"14","S2","TIMH","TIL","P13",27,448.6508,0.236945296022389,0.964285714285714,0.356415170653422
"15","S2","TIMH","TIL","P15",22,391.8517,0.206948069753529,0.785714285714286,0.469476864084146
"16","S2","TIMH","TIL","P21",23,81.80601,0.0432040893627305,0.821428571428571,0.521708251182955
"17","S2","TIMH","TIL","P23",28,326.1677,0.172258474139446,1,0.364970010161383
"18","S2","TIMH","TIL","P25",28,272.7736,0.144059525580012,1,0.377403566073148
"19","S2","VICP","TIL","P01",8,136.2827,0.0719747846080526,0.285714285714286,0.808528307478716
"20","S2","VICP","TIL","P03",12,104.9366,0.0554200142974961,0.428571428571429,0.735959492258844
"21","S2","VICP","TIL","P05",15,344.0852,0.181721217416581,0.535714285714286,0.62036928590471
"22","S2","VICP","TIL","P11",16,215.1581,0.113631135163728,0.571428571428571,0.630424700088439
"23","S2","VICP","TIL","P13",22,270.9324,0.143087135295549,0.785714285714286,0.497634598316233
"24","S2","VICP","TIL","P15",13,287.89965,0.152048024418974,0.464285714285714,0.67338696406029
"25","S2","VICP","TIL","P21",13,360.0885,0.190173017025174,0.464285714285714,0.656576790226832
"26","S2","VICP","TIL","P23",13,338.903,0.17898434964983,0.464285714285714,0.661510127407695
"27","S2","VICP","TIL","P25",14,446.7113,0.235920990701558,0.5,0.61643842394745
"28","S4","BNSH","RES","P01",12,371.4969,0.196198118763858,0.428571428571429,0.673887233452966
"29","S4","BNSH","RES","P03",14,685.1408,0.361842416581039,0.5,0.560916811648259
"30","S4","BNSH","RES","P05",18,571.6638,0.30191197322346,0.642857142857143,0.507473314342419
"31","S4","BNSH","RES","P11",15,542.2488,0.286377071953924,0.535714285714286,0.574224146267996
"32","S4","BNSH","RES","P13",8,999.3785,0.527800317130631,0.285714285714286,0.607544493040234
"33","S4","BNSH","RES","P15",12,366.299,0.193452959378887,0.428571428571429,0.67509763648015
"34","S4","BNSH","RES","P21",22,525.3507,0.277452702919664,0.785714285714286,0.438389772426739
"35","S4","BNSH","RES","P23",15,927.6345,0.489910262509464,0.535714285714286,0.484481746854113
"36","S4","BNSH","RES","P25",21,444.6275,0.234820476431102,0.75,0.477154335112521
"37","S4","DAVE","RES","P01",14,764.4243,0.403714296397572,0.5,0.542454550272369
"38","S4","DAVE","RES","P03",13,614.1251,0.324336997982126,0.464285714285714,0.597420848470445
"39","S4","DAVE","RES","P05",10,733.2463,0.387248304496106,0.357142857142857,0.629582968391865
"40","S4","DAVE","RES","P11",21,696.7199,0.367957669863041,0.75,0.418451127261258
"41","S4","DAVE","RES","P13",15,411.512,0.217331235465902,0.535714285714286,0.60466802138763
"42","S4","DAVE","RES","P15",8,533.3452,0.281674826604835,0.285714285714286,0.716066803413374
"43","S4","DAVE","RES","P21",10,667.2574,0.352397682487426,0.357142857142857,0.644949397973146
"44","S4","DAVE","RES","P23",11,324.472,0.171362926558866,0.392857142857143,0.704804680124405
"45","S4","DAVE","RES","P25",8,115.4832,0.060989974852631,0.285714285714286,0.8133717592119
"46","S4","GRNB","RES","P01",14,569.4818,0.30075959672949,0.5,0.587849612148668
"47","S4","GRNB","RES","P03",20,781.2127,0.412580729730004,0.714285714285714,0.418742855429402
"48","S4","GRNB","RES","P05",23,561.9168,0.296764304256125,0.821428571428571,0.409907802232476
"49","S4","GRNB","RES","P11",10,494.171,0.260985813199665,0.357142857142857,0.685254964168028
"50","S4","GRNB","RES","P13",9,312.7754,0.165185618172354,0.321428571428571,0.747462489918486
"51","S4","GRNB","RES","P15",17,487.6147,0.2575232439937,0.607142857142857,0.547012358920524
"52","S4","GRNB","RES","P21",14,322.3479,0.170241128707885,0.5,0.645398164579416
"53","S4","GRNB","RES","P23",17,434.6359,0.229543627220675,0.607142857142857,0.559349206473685
"54","S4","GRNB","RES","P25",13,108.6947,0.0574047741975826,0.464285714285714,0.715117319389626
