"","section","site","treatment","plot","species_richness","comm_biomass_g"
"1","S2","KENN","TIL",1,27,516.384
"2","S2","KENN","TIL",3,21,628.001
"3","S2","KENN","TIL",5,19,1893.479
"4","S2","KENN","TIL",11,18,564.932
"5","S2","KENN","TIL",13,21,341.415
"6","S2","KENN","TIL",15,21,487.038
"7","S2","KENN","TIL",21,23,541.45
"8","S2","KENN","TIL",23,22,525.771
"9","S2","KENN","TIL",25,22,547.239
"10","S2","TIMH","TIL",1,16,86.338
"11","S2","TIMH","TIL",3,25,659.537
"12","S2","TIMH","TIL",5,22,268.663
"13","S2","TIMH","TIL",11,26,114.836
"14","S2","TIMH","TIL",13,26,448.652
"15","S2","TIMH","TIL",15,22,391.852
"16","S2","TIMH","TIL",21,23,81.806
"17","S2","TIMH","TIL",23,28,326.1685
"18","S2","TIMH","TIL",25,28,272.774
"19","S2","VICP","TIL",1,8,136.282
"20","S2","VICP","TIL",3,12,104.937
"21","S2","VICP","TIL",5,14,344.084
"22","S2","VICP","TIL",11,16,215.158
"23","S2","VICP","TIL",13,22,270.933
"24","S2","VICP","TIL",15,12,135.216
"25","S2","VICP","TIL",21,13,512.772
"26","S2","VICP","TIL",23,13,338.904
"27","S2","VICP","TIL",25,14,446.712
"28","S4","BNSH","RES",1,12,371.498
"29","S4","BNSH","RES",3,14,685.14
"30","S4","BNSH","RES",5,18,571.665
"31","S4","BNSH","RES",11,15,542.249
"32","S4","BNSH","RES",13,8,999.379
"33","S4","BNSH","RES",15,12,366.299
"34","S4","BNSH","RES",21,22,525.351
"35","S4","BNSH","RES",23,15,927.635
"36","S4","BNSH","RES",25,21,444.629
"37","S4","DAVE","RES",1,14,764.4243
"38","S4","DAVE","RES",3,13,614.1251
"39","S4","DAVE","RES",5,10,733.2463
"40","S4","DAVE","RES",11,21,696.7199
"41","S4","DAVE","RES",13,15,411.512
"42","S4","DAVE","RES",15,8,533.3372
"43","S4","DAVE","RES",21,10,667.2574
"44","S4","DAVE","RES",23,11,324.472
"45","S4","DAVE","RES",25,8,115.4832
"46","S4","GRNB","RES",1,14,569.482
"47","S4","GRNB","RES",3,20,781.215
"48","S4","GRNB","RES",5,22,561.915
"49","S4","GRNB","RES",11,10,494.172
"50","S4","GRNB","RES",13,9,312.776
"51","S4","GRNB","RES",15,17,487.617
"52","S4","GRNB","RES",21,14,322.348
"53","S4","GRNB","RES",23,17,434.636
"54","S4","GRNB","RES",25,13,108.696
