"","section","treatment","site","plot","lat_dd","lon_dd"
"1","S2","TIL","VICP",1,43.7292333333333,-79.3021833333333
"2","S2","TIL","VICP",3,43.72885,-79.3020666666667
"3","S2","TIL","VICP",5,43.7287166666667,-79.3019
"4","S2","TIL","VICP",11,43.7291666666667,-79.3019333333333
"5","S2","TIL","VICP",13,43.7289666666667,-79.3017833333333
"6","S2","TIL","VICP",15,43.7287833333333,-79.30165
"7","S2","TIL","VICP",21,43.7292333333333,-79.3016666666667
"8","S2","TIL","VICP",23,43.7291333333333,-79.3015166666667
"9","S2","TIL","VICP",25,43.7289166666667,-79.3013333333333
"10","S2","TIL","TIMH",1,43.73455,-79.2907333333333
"11","S2","TIL","TIMH",3,43.7348333333333,-79.2908333333333
"12","S2","TIL","TIMH",5,43.73505,-79.2907333333333
"13","S2","TIL","TIMH",11,43.73455,-79.2909666666667
"14","S2","TIL","TIMH",13,43.7347333333333,-79.29105
"15","S2","TIL","TIMH",15,43.7349,-79.2911166666667
"16","S2","TIL","TIMH",21,43.7344333333333,-79.2912
"17","S2","TIL","TIMH",23,43.7346333333333,-79.2913166666667
"18","S2","TIL","TIMH",25,43.7348,-79.29145
"19","S2","TIL","KENN",1,43.7427,-79.2728166666667
"20","S2","TIL","KENN",3,43.7428666666667,-79.2729166666667
"21","S2","TIL","KENN",5,43.7431,-79.2731333333333
"22","S2","TIL","KENN",11,43.7426,-79.27305
"23","S2","TIL","KENN",13,43.7427833333333,-79.2731666666667
"24","S2","TIL","KENN",15,43.74295,-79.2733
"25","S2","TIL","KENN",21,43.7425,-79.2732833333333
"26","S2","TIL","KENN",23,43.7426833333333,-79.2734166666667
"27","S2","TIL","KENN",25,43.74285,-79.27355
"28","S4","RES","GRNB",1,43.7571833333333,-79.2508833333333
"29","S4","RES","GRNB",3,43.7573333333333,-79.2507
"30","S4","RES","GRNB",5,43.75745,-79.25045
"31","S4","RES","GRNB",11,43.7573333333333,-79.2510333333333
"32","S4","RES","GRNB",13,43.7575333333333,-79.2509
"33","S4","RES","GRNB",15,43.7576166666667,-79.2507
"34","S4","RES","GRNB",21,43.7574833333333,-79.2512333333333
"35","S4","RES","GRNB",23,43.75755,-79.2510166666667
"36","S4","RES","GRNB",25,43.7577166666667,-79.2508333333333
"37","S4","RES","BNSH",1,43.7617666666667,-79.2430333333333
"38","S4","RES","BNSH",3,43.762,-79.2430333333333
"39","S4","RES","BNSH",5,43.7621666666667,-79.2431666666667
"40","S4","RES","BNSH",11,43.7617,-79.2432666666667
"41","S4","RES","BNSH",13,43.7618833333333,-79.2433833333333
"42","S4","RES","BNSH",15,43.7620666666667,-79.2433833333333
"43","S4","RES","BNSH",21,43.7616333333333,-79.2435166666667
"44","S4","RES","BNSH",23,43.7618,-79.2436333333333
"45","S4","RES","BNSH",25,43.7620166666667,-79.2437166666667
"46","S4","RES","DAVE",1,43.7670666666667,-79.2353666666667
"47","S4","RES","DAVE",3,43.76665,-79.2351833333333
"48","S4","RES","DAVE",5,43.7664666666667,-79.235
"49","S4","RES","DAVE",11,43.7666333333333,-79.23475
"50","S4","RES","DAVE",13,43.7669333333333,-79.2349333333333
"51","S4","RES","DAVE",15,43.7669166666667,-79.2351
"52","S4","RES","DAVE",21,43.76705,-79.23485
"53","S4","RES","DAVE",23,43.7668666666667,-79.2346833333333
"54","S4","RES","DAVE",25,43.76675,-79.2345666666667
