"","section","treatment","site","plot","seed_rain_dsv"
"1","S2","TIL","VICP",1,0
"2","S2","TIL","VICP",3,0
"3","S2","TIL","VICP",5,0
"4","S2","TIL","VICP",11,0
"5","S2","TIL","VICP",13,0
"6","S2","TIL","VICP",15,0
"7","S2","TIL","VICP",21,0
"8","S2","TIL","VICP",23,0
"9","S2","TIL","VICP",25,0
"10","S2","TIL","TIMH",1,0
"11","S2","TIL","TIMH",3,0
"12","S2","TIL","TIMH",5,0
"13","S2","TIL","TIMH",11,0
"14","S2","TIL","TIMH",13,0
"15","S2","TIL","TIMH",15,0
"16","S2","TIL","TIMH",21,0
"17","S2","TIL","TIMH",23,0
"18","S2","TIL","TIMH",25,0
"19","S2","TIL","KENN",1,0
"20","S2","TIL","KENN",3,0
"21","S2","TIL","KENN",5,0
"22","S2","TIL","KENN",11,0
"23","S2","TIL","KENN",13,0
"24","S2","TIL","KENN",15,0
"25","S2","TIL","KENN",21,0
"26","S2","TIL","KENN",23,0
"27","S2","TIL","KENN",25,0
"28","S4","RES","GRNB",1,5.01637835189343e-08
"29","S4","RES","GRNB",3,4.84936922146225e-05
"30","S4","RES","GRNB",5,0.0300355495589076
"31","S4","RES","GRNB",11,2.15815582048863e-05
"32","S4","RES","GRNB",13,0.0371253888628201
"33","S4","RES","GRNB",15,0.00113196178989907
"34","S4","RES","GRNB",21,0.000294734241905138
"35","S4","RES","GRNB",23,0.097931324022965
"36","S4","RES","GRNB",25,0.00203617753215611
"37","S4","RES","BNSH",1,3.50754019680558e-05
"38","S4","RES","BNSH",3,0.0169893198652036
"39","S4","RES","BNSH",5,0.0771655765403288
"40","S4","RES","BNSH",11,6.06367955007506e-10
"41","S4","RES","BNSH",13,0.014891812810117
"42","S4","RES","BNSH",15,0.0138270341896684
"43","S4","RES","BNSH",21,2.51843753013468e-06
"44","S4","RES","BNSH",23,0.00468011643453872
"45","S4","RES","BNSH",25,1
"46","S4","RES","DAVE",1,0
"47","S4","RES","DAVE",3,0
"48","S4","RES","DAVE",5,0
"49","S4","RES","DAVE",11,0
"50","S4","RES","DAVE",13,1.14254317363707e-10
"51","S4","RES","DAVE",15,0
"52","S4","RES","DAVE",21,0.00364445644668288
"53","S4","RES","DAVE",23,3.2769626912333e-08
"54","S4","RES","DAVE",25,0.000140490736264437
